study_key,pmid,year,title,max_acceleration_factor,band,all_factors_reported,n_evidence_matches,evidence_quote_for_max,extraction_pattern
S179,,2026,MotionDPS: Motion-Compensated 3D Brain MRI Reconstruction,8.0,>4--8,4.0; 4.9; 8.0,6,"under additional undersampling arti- facts, we generate two 3D Cartesian undersampling masks with acceleration factors R = 4 and R = 8, each including 4% auto-calibration lines (ACL), applied along the two phase- encoding di",R_equals
S188,32542779,2020,Combined Denoising and Suppression of Transient Artifacts in Arterial Spin Labeling MRI Using Deep Learning.,2.0,2--4,2.0,1,"imaging (EPI) factor = 31, segments = 2 (with parallel imaging, generalized autocalibrating partial parallel acquisition [GRAPPA] acceleration factor = 2). A proton-density-weighted (M0) image was also acquired (TR = 4000 msec), with identical",accel_factor
S189,,2021,Dictionary+Wavelet Model With Nested-Minorized VB-EM for SMS-CAIPI R-fMRI Reconstruction,4.0,2--4,4.0,1,"spatial resolution in R-fMRI acquisition through SMS-CAIPI imaging and k-t undersampling. Specifically, in this paper, we propose 4× undersampling in time by reducing the temporal sampling rate by 4×. This means that one timeframe of",fold
S197,37604079,2023,Sinogram upsampling using Primal-Dual UNet for undersampled CT and radial MRI reconstruction.,16.0,>8,8.0; 16.0,4,"model resulted in 0.903±0.019 and 0.957±0.023 average SSIM while reconstructing undersampled brain and abdominal MRI data with an acceleration factor of 16, respectively - statistically significant improvements over the original model, which res",accel_factor
S205,39424209,2025,Bayesian merged utilization of GRAPPA and SENSE (BMUGS) for in-plane accelerated reconstruction increases fMRI detection power.,2.0,2--4,2.0,1,"BMUGS was approximately 0.015 for each acceleration factor. For MUGS, the MSEs inside the brain were 0.052, 0.103, and 0.145 for acceleration factors 2, 3, 4, respectively. This means MUGS had an 247 %, 587 %, and 867 % larger MSE inside the",accel_factor
S210,40275620,2025,Higher spatial resolution and sensitivity in whole brain functional MRI at 7T using 3D EPI accelerated with variable density CAIPI sampling and tempor,12.0,>8,6.0; 12.0,12,"data after NORDIC processing. Figure 7 shows 0.54 mm isotropic voxel size whole-brain images acquired using temporal average at 12-fold acceleration. As pointed out by the red arrows, high acceleration caused strong artifacts in both skip",fold
S212,40089979,2025,Quantitative susceptibility mapping via deep neural networks with iterative reverse concatenations and recurrent modules.,3.0,2--4,2.0; 3.0,6,"= 20<sup>◦</sup> , BW = 855 Hz/pixel, TE1st / ΔTE / TR = 4.2 / 4.1 / 43.4 ms, spatial resolution = 1 mm isotropic, with CS-SENSE acceleration factor of 3, and scan time = 4.6 mins. (3) A patient with ICH scanned at 3T (Prisma; Siemens Health",accel_factor
S220,,2026,Technical Feasibility of an Efficient Deep Learning-Based Super-Resolution Method for 3D MR Angiography,4.0,2--4,4.0,1,"led improved visualization of small vessels, with over 85% and 82% of the vessels observed in reference images retained at 2× and 4× acceleration, respectively. Overall, these findings demonstrate the technical feasibility of deep lear",fold
S222,,2016,Diagnostic quality assessment of compressed sensing accelerated magnetic resonance neuroimaging,5.0,>4--8,3.0; 4.0; 5.0,6,"s. In a series of blinded studies, three radiologists independently evaluated CS, PI (GRAPPA), and low‐resolution images at up to 5× accelerations. Synthetic T 2 ‐FLAIR images with artificial lesions were used to assess diagnostic accu",fold
S232,,2021,Accelerating T2 mapping of the brain by integrating deep learning priors with low-rank and sparse modeling,8.0,>4--8,8.0,4,"High‐quality T 2 maps at the resolution of 0.9 × 0.9 × 3.0 mm 3 were obtained successfully from highly undersampled data with an acceleration factor of 8. Compared with the existing compressed sensing–based methods, the proposed method produce",accel_factor
S237,,2022,Improved signal-to-noise performance of MultiNet GRAPPA 1H FID MRSI reconstruction with semi-synthetic calibration data,7.0,>4--8,4.0; 6.0; 7.0,50,"tion were acquired in two slices in the human brain ( n = 6) at 7T. MRSI data were retrospectively undersampled for a 4×, 6×, and 7× acceleration rate. Signal‐to‐noise, relative error (RE) between accelerated and fully sampled metaboli",fold
S250,,2025,DEISM - Deep Reconstruction Framework With Self-Calibration Mechanisms for Accelerated Chemical Exchange Saturation Transfer Imaging,8.0,>4--8,3.0; 5.0; 8.0,12,e voxel-wise Bland-Altman analyses of APTw values generated by the different methods with acceleration factors R = 5 (part a) and R = 8 (part b) versus those obtained from the reference fully-sampled data within the whole tum,R_equals
S259,,2026,Clinical Validation of Deep Learning-Accelerated versus Wave-CAIPI Postcontrast 3D T1-MPRAGE for Evaluation of Intracranial Enhancing Lesions,2.0,2--4,2.0,2,"T1-MPRAGE (acceleration factor [R] ¼ 2 � 2, acquisition time [TA] ¼ 2:11 minutes) and a research-based postcontrast DL-T1-MPRAGE (R ¼ 2 � 2, TA ¼ 2:11 minutes). The DL-based reconstruction process involved 2 steps. The first",R_equals
S261,,2026,Deep Learning-Accelerated 3D FLAIR Enables Reliable MS Lesion Detection,9.0,>8,4.0; 9.0,2,"ent. These artifacts likely reflect residual undersampling effects related to the higher acceleration factor used with FLAIR DLR (R ¼ 9 versus R ¼ 4 for Ref FLAIR), despite the ability of the DLR algorithm to mitigate noise a",R_equals
S264,,2026,Motion-Informed 3D Deep Learning Reconstruction in Patients with Cognitive Impairment,4.0,2--4,4.0,1,ohort was scanned at distinct imaging sites between October 2022 and August 2023 in staggered periods. All participants underwent 4-fold undersampled 3D MPRAGE with an integrated scout accelerated motion estimation and reduction (SAMER),fold
