study_key,pmid,doi,year,journal,title,study_design,method_family,evaluation,failure_modes,field_strength,field_strength_evidence,pulse_sequences,reference_standard,public_dataset_or_benchmark,code_available,full_text_basis,source_record
S051,35618420,10.3174/ajnr.a7531,2022,AJNR. American journal of neuroradiology,Image-Quality Assessment of 3D Intracranial Vessel Wall MRI Using DANTE or DANTE-CAIPI for Blood Suppression and Imaging Acceleration,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,l diagnoses. ### Image Acquisition All imaging was performed on a 3T Prisma MR imaging system (Siemens) using a 64-channel neurovascular c,T1w,Expert reader consensus,,not stated,full text,2022 - Image-Quality Assessment of 3D Intracranial Vessel Wall MRI Using DANTE or DANTE-CAIPI for Blood Suppression and Imaging - PMID 35618420.md
S052,34851499,10.1007/s11604-021-01225-2,2022,Japanese journal of radiology,Impact of deep learning reconstruction on intracranial 1.5 T magnetic resonance angiography,Diagnostic accuracy / reader study,,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),1.5T,Impact of deep learning reconstruction on intracranial 1.5 T magnetic resonance angiography. PURPOSE: The purpose of this study wa,,Expert reader consensus,,not stated,full text,2022 - Impact of deep learning reconstruction on intracranial 1.5 T magnetic resonance angiography. - PMID 34851499.md
S053,35046218,10.6009/jjrt.780108,2022,Nihon Hoshasen Gijutsu Gakkai zasshi,[Improvement of Motion Artifacts in Brain MRI Using Deep Learning by Simulation Training Data],Algorithmic / methodological reconstruction study,Denoising;Motion correction,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs);Motion degradation,1.5T,"はPyTorch を使用し，オペレー ティングシステムはWindows 10 である． 1-2 画像収集条件 MR 装置はIngenia 1.5T R5.6（Philips Healthcare, Best, The Netherlands），頭部用受信コイルはdStream Hea",T1w;T2w;FLAIR,Stated ground truth (unspecified),,not stated,full text,2022 - Improvement of Motion Artifacts in Brain MRI Using Deep Learning by Simulation Training Data . - PMID 35046218.md
S054,35180675,10.1016/j.media.2022.102387,2022,Medical image analysis,Learning residual motion correction for fast and robust 3D multiparametric MRI,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,3T,or the example of 3D Quantitative Transient-state Imaging at 1.5T and 3T. We show the robustness of the motion correction for various motion r,DWI,Fully sampled acquisition,,yes,full text,2022 - Learning residual motion correction for fast and robust 3D multiparametric MRI. - PMID 35180675.md
S055,35657830,10.1109/tmi.2022.3179981,2022,IEEE transactions on medical imaging,MOdel-Based SyntheTic Data-Driven Learning (MOST-DL): Application in Single-Shot T2 Mapping With Severe Head Motion Using Overlapping-Echo Acquisition,Algorithmic / methodological reconstruction study,Motion correction,Uncertainty estimation,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,not reported,,,Not stated,,yes,abstract + MeSH only,2022 - MOdel-Based SyntheTic Data-Driven Learning (MOST-DL) Application in Single-Shot T2 Mapping With Severe Head Motion Using - PMID 35657830.md
S056,35403237,10.1002/mrm.29238,2022,Magnetic resonance in medicine,Mitigating transmit-B1 artifacts by predicting parallel transmission images with deep learning: A feasibility study using high-resolution whole-brain diffusion at 7 Tesla,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,7T,g: A feasibility study using high-resolution whole-brain diffusion at 7 Tesla. PURPOSE: To propose a novel deep learning (DL) approach to transmit-,T1w;DWI,Expert reader consensus,HCP;Human Connectome;fastMRI;human Connectome;human connectome,yes,full text,2022 - Mitigating transmit-B1 artifacts by predicting parallel transmission images with deep learning A feasibility study using - PMID 35403237.md
S057,36103561,10.1371/journal.pone.0274576,2022,PloS one,Motion correction in MR image for analysis of VSRAD using generative adversarial network,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging;Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,"/journal.pone.0274576.g001 Whole brain images were acquired using a 3.0 Tesla clinical MRI scanner (MAGNETOM, Skyra, Siemens AG, Healthcare Sector,",T1w,Expert reader consensus,ADNI,not stated,full text,2022 - Motion correction in MR image for analysis of VSRAD using generative adversarial network. - PMID 36103561.md
S058,,10.1002/nbm.4616,2022,NMR in Biomedicine,Quantitative effects of off-resonance related distortion on brain mechanical property estimation with magnetic resonance elastography,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,,Artifacts (aliasing/ghosting/Gibbs);Geometric / anatomical distortion,3T,. Two MRE experiments were performed on the phantom using a Siemens 3T Prisma scanner with a 64-channel RF-receive coil. The first experimen,T1w;DWI;SWI,Stated ground truth (unspecified),,yes,full text,2022 - Quantitative effects of off-resonance related distortion on brain mechanical property estimation with magnetic resonance - SCOPUS 2-s2.0-85115052773.md
S059,,10.1038/s41598-022-22778-w,2022,Scientific Reports,Quantitative susceptibility mapping using plug-and-play alternating direction method of multipliers,Diagnostic accuracy / reader study,Denoising,Pixel-wise metrics (PSNR/SSIM/NRMSE);Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),3T,"ir reconstructions. The 3D gradient echo (GRE) data was acquired on a 3 T scanner (Tim Trio Model; Siemens Healthcare; Erlangen, Germany) equip",T1w;FLAIR;SWI,Expert reader consensus,,not stated,full text,2022 - Quantitative susceptibility mapping using plug-and-play alternating direction method of multipliers - SPRINGER 10.1038_s41598-022-22778-w.md
S060,,10.1109/tmi.2022.3142610,2022,IEEE Transactions on Medical Imaging,Scan-Specific Generative Neural Network for MRI Super-Resolution Reconstruction,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Super-resolution;Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,"g time. To this end, we acquired a dataset from fifteen patients on a 3T MRI scanner. For each patient, three T2 TSE LR images were acquired i",T1w;T2w;DWI,Stated ground truth (unspecified),HCP;Human Connectome;human connectome,not stated,full text,2022 - Scan-Specific Generative Neural Network for MRI Super-Resolution Reconstruction - IEEEXPLORE 9678968.md
S061,34166181,10.1109/tbme.2021.3091881,2022,IEEE transactions on bio-medical engineering,Spatiotemporal Flexible Sparse Reconstruction for Rapid Dynamic Contrast-Enhanced MRI,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,,Motion degradation;Robustness / distribution shift,3T,"urces/software. The first and the second datasets were acquired on a 3 Tesla MRI Scanners (Siemens AG, Erlangen, Germany) with a 12-channel coil",,Fully sampled acquisition,,not stated,full text,2022 - Spatiotemporal Flexible Sparse Reconstruction for Rapid Dynamic Contrast-Enhanced MRI. - PMID 34166181.md
S062,31865624,10.1002/nbm.4225,2022,NMR in biomedicine,Suppressing motion artefacts in MRI using an Inception-ResNet network with motion simulation augmentation,Algorithmic / methodological reconstruction study,Motion correction,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs);Motion degradation,7T,ovement using highly accelerated fat image navigators (3D FatNavs) at 7T. Magn. Reson. Med. 2016;75:1030–1039. doi: 10.1002/mrm.25670. 14. M,T1w;SWI,Stated ground truth (unspecified),,not stated,full text,2022 - Suppressing motion artefacts in MRI using an Inception-ResNet network with motion simulation augmentation. - PMID 31865624.md
S063,34882551,10.1109/tmi.2021.3134496,2022,IEEE transactions on medical imaging,Unsupervised Deep Learning for FOD-Based Susceptibility Distortion Correction in Diffusion MRI,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs);Geometric / anatomical distortion,3T,resolution of 1.25 mm. The data from HCLV project was acquired on a 3T Prisma scanner and based on the LifeSpan protocol of HCP. There are t,T1w;T2w;DWI,Stated ground truth (unspecified),HCP;Human Connectome,yes,full text,2022 - Unsupervised Deep Learning for FOD-Based Susceptibility Distortion Correction in Diffusion MRI. - PMID 34882551.md
S064,37384951,10.1016/j.media.2023.102872,2023,Medical image analysis,Adaptive diffusion priors for accelerated MRI reconstruction,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Compressed sensing / parallel imaging,,Hallucination / fidelity / instability;Robustness / distribution shift,not reported,,T1w;T2w;FLAIR,Fully sampled acquisition,IXI;fastMRI;ixi,yes,full text,2023 - Adaptive diffusion priors for accelerated MRI reconstruction. - PMID 37384951.md
S065,36702502,10.3174/ajnr.a7777,2023,AJNR. American journal of neuroradiology,Clinical Evaluation of Scout Accelerated Motion Estimation and Reduction Technique for 3D MR Imaging in the Inpatient and Emergency Department Settings,Diagnostic accuracy / reader study,Motion correction,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,ngs were included in this study. The examinations were performed on a 3T MR imag- ing system (Magnetom Skyra; Siemens) by using either a 20- c,T1w;FLAIR,Expert reader consensus,,not stated,full text,2023 - Clinical Evaluation of Scout Accelerated Motion Estimation and Reduction Technique for 3D MR Imaging in the Inpatient an - PMID 36702502.md
S066,,10.1007/s00062-023-01261-7,2023,Clinical Neuroradiology,Comparison of EPI DWI and STEAM DWI in Early Postoperative MRI Controls After Resection of Tumors of the Central Nervous System,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Compressed sensing / parallel imaging,,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,3T,**Methods** We compared EPI and STEAM DWI of 43 patients who received 3-Tesla MRI within 72h after a neurosurgical operation between 1 October 2019,T1w;T2w;DWI,Expert reader consensus,,not stated,full text,2023 - Comparison of EPI DWI and STEAM DWI in Early Postoperative MRI Controls After Resection of Tumors of the Central Nervous - SPRINGER 10.1007_s00062-023-01261-7.md
S067,,10.48550/arxiv.2305.00088,2023,arXiv.org,DD-CISENet: Dual-Domain Cross-Iteration Squeeze and Excitation Network for Accelerated MRI Reconstruction,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,,Artifacts (aliasing/ghosting/Gibbs),not reported,,,Fully sampled acquisition,fastMRI;fastmri,yes,partial full text (truncated),2023 - DD-CISENet Dual-Domain Cross-Iteration Squeeze and Excitation Network for Accelerated MRI Reconstruction - SEMANTICSCHOLAR ce78239f940be85d2d81ce9c3f53642eb3a6ecb4.md
S068,37797482,10.1016/j.media.2023.102942,2023,Medical image analysis,"Deep learning, data ramping, and uncertainty estimation for detecting artifacts in large, imbalanced databases of MRI images",Algorithmic / methodological reconstruction study,,Uncertainty estimation,Artifacts (aliasing/ghosting/Gibbs),not reported,,,Not stated,,not stated,abstract + MeSH only,"2023 - Deep learning, data ramping, and uncertainty estimation for detecting artifacts in large, imbalanced databases of MRI im - PMID 37797482.md"
S069,36433748,10.1002/mp.16119,2023,Medical physics,Deep learning-based motion quantification from k-space for fast model-based magnetic resonance imaging motion correction,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Compressed sensing / parallel imaging;Motion correction,Pixel-wise metrics (PSNR/SSIM/NRMSE),Motion degradation;Hallucination / fidelity / instability;Robustness / distribution shift,3T,"MAGNETOM scanners (Siemens Healthcare, Erlangen, Germany) at 1.5 and 3 T and NC between 12 and 64. All acquisitions were in compliance with In",T1w;T2w,Stated ground truth (unspecified),,yes,full text,2023 - Deep learning-based motion quantification from k-space for fast model-based magnetic resonance imaging motion correction - PMID 36433748.md
S070,36867912,10.1016/j.media.2023.102744,2023,Medical image analysis,Diffusion MRI data analysis assisted by deep learning synthesized anatomical images (DeepAnat),Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),,Motion degradation;Geometric / anatomical distortion;Robustness / distribution shift,3T,H data). The whole-brain diffusion data and T1w data were acquired on 3-Tesla (3T) MRI scanners using a pulsed gradient spin echo (PGSE) sequence a,T1w;T2w;FLAIR;DWI,Expert reader consensus,ADNI;HCP;Human Connectome;UK Biobank,yes,full text,2023 - Diffusion MRI data analysis assisted by deep learning synthesized anatomical images (DeepAnat). - PMID 36867912.md
S071,37125656,10.1002/mrm.29684,2023,Magnetic resonance in medicine,Distortion-corrected image reconstruction with deep learning on an MRI-Linac,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Compressed sensing / parallel imaging,Pixel-wise metrics (PSNR/SSIM/NRMSE),Geometric / anatomical distortion,3T,", TE/TR = 86 ms/10.2 s, and phase encoding direction: R/L. A clinical 3T MRI scanner (Siemens Skyra with 50 cm diameter of spherical volume [D",T1w,Fully sampled acquisition,ADNI,yes,full text,2023 - Distortion-corrected image reconstruction with deep learning on an MRI-Linac. - PMID 37125656.md
S072,37058493,10.1371/journal.pone.0284440,2023,PloS one,Effect of geometric distortion correction on thickness and volume measurements of cortical parcellations in 3D T1w gradient echo sequences,Algorithmic / methodological reconstruction study,,,Geometric / anatomical distortion,3T,"AL AND METHODS: 36 healthy volunteers underwent brain imaging using a 3T magnetic resonance imaging (MRI) scanner, including a high-resolution",T1w,Expert reader consensus,,yes,full text,2023 - Effect of geometric distortion correction on thickness and volume measurements of cortical parcellations in 3D T1w gradi - PMID 37058493.md
S073,37237139,10.1038/s41598-023-35794-1,2023,Scientific reports,Evaluation of motion artefact reduction depending on the artefacts' directions in head MRI using conditional generative adversarial networks,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,1.5T,"imulated motion images. In these datasets, MR images using an Ingenia 1.5T R5.6 (Philips Healthcare, Best, the Netherlands) and a dStream receiv",T2w;SWI,Stated ground truth (unspecified),,not stated,full text,2023 - Evaluation of motion artefact reduction depending on the artefacts' directions in head MRI using conditional generative - PMID 37237139.md
S074,37284977,10.1007/s12021-023-09635-5,2023,Neuroinformatics,Geometric Reliability of Super-Resolution Reconstructed Images from Clinical Fetal MRI in the Second Trimester,Algorithmic / methodological reconstruction study,Super-resolution,,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,3T,"f data. MRI Data Fetal MR data were acquired with an Achieva d-Stream 3T Philips scanner (Best, The Netherlands) using a phased- array abdomi",T2w,Expert reader consensus,,yes,full text,2023 - Geometric Reliability of Super-Resolution Reconstructed Images from Clinical Fetal MRI in the Second Trimester. - PMID 37284977.md
S075,36106429,10.1002/nbm.4831,2023,NMR in biomedicine,"High-fidelity, high-spatial-resolution diffusion magnetic resonance imaging of ex vivo whole human brain at ultra-high gradient strength with structured low-rank echo-planar imaging ghost correction",Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Compressed sensing / parallel imaging,,Artifacts (aliasing/ghosting/Gibbs),3T,"n brain specimens using strong diffusion-sensitizing gradients on the 3-T Connectom MRI scanner, resulting in orientationally biased dMRI estim",DWI,Stated ground truth (unspecified),Human Connectome;human connectome,not stated,full text,"2023 - High-fidelity, high-spatial-resolution diffusion magnetic resonance imaging of ex vivo whole human brain at ultra-high g - PMID 36106429.md"
S076,37010811,10.1002/mrm.29647,2023,Magnetic resonance in medicine,Highly accelerated intracranial time-of-flight magnetic resonance angiography using wave-encoding,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs),3T,ng wave (CS-wave). METHODS: A wave-TOF sequence was implemented on a 3 T clinical scanner. Wave-encoded and Cartesian k-space datasets from si,T1w;SWI,Fully sampled acquisition,,yes,full text,2023 - Highly accelerated intracranial time-of-flight magnetic resonance angiography using wave-encoding. - PMID 37010811.md
S077,37784039,10.1186/s12880-023-01109-z,2023,BMC medical imaging,"Improving MR image quality with a multi-task model, using convolutional losses",Algorithmic / methodological reconstruction study,Super-resolution,Pixel-wise metrics (PSNR/SSIM/NRMSE);Perceptual / learned metrics,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Hallucination / fidelity / instability,3T,"**_Datasets_** **Brain** The public dataset contains 3 969 scans of 3T brain MR images [29, 30] of size 320 × 320 , introduced for the fastM",T2w,Fully sampled acquisition,FastMRI;fastMRI,not stated,full text,"2023 - Improving MR image quality with a multi-task model, using convolutional losses. - PMID 37784039.md"
S078,36856903,10.1007/s10278-022-00697-6,2023,Journal of digital imaging,Multi-Modal Brain Tumor Data Completion Based on Reconstruction Consistency Loss,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs),not reported,,T1w;T2w;FLAIR,Stated ground truth (unspecified),BRATS;BraTs;brats,not stated,full text,2023 - Multi-Modal Brain Tumor Data Completion Based on Reconstruction Consistency Loss. - PMID 36856903.md
S079,37394534,10.1186/s41747-023-00351-y,2023,European radiology experimental,Optimized flow compensation for contrast-enhanced T1-weighted Wave-CAIPI 3D MPRAGE imaging of the brain,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,Uncertainty estimation,Artifacts (aliasing/ghosting/Gibbs),3T,"were scheduled for outpatient contrast-enhanced brain MRI exams on a 3-T MRI system (MAGNETOM Vida, Siemens Healthcare, Erlangen, Germany) dur",T1w;FLAIR;SWI,Expert reader consensus,,not stated,full text,2023 - Optimized flow compensation for contrast-enhanced T1-weighted Wave-CAIPI 3D MPRAGE imaging of the brain. - PMID 37394534.md
S080,,10.1007/978-3-031-46914-5_23,2023,Shape in Medical Imaging,SADIR: Shape-Aware Diffusion Models for 3D Image Reconstruction,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),,Artifacts (aliasing/ghosting/Gibbs),not reported,,T1w,Stated ground truth (unspecified),OASIS;Oasis,not stated,full text,2023 - SADIR Shape-Aware Diffusion Models for 3D Image Reconstruction - SPRINGER 10.1007_978-3-031-46914-5_23.md
S081,,10.1007/978-3-031-43999-5_47,2023,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,Self-supervised MRI Reconstruction with Unrolled Diffusion Models,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Generative (GAN/diffusion/VAE);Compressed sensing / parallel imaging;Self-supervised / unsupervised,,Hallucination / fidelity / instability,not reported,,FLAIR,Fully sampled acquisition,IXI;fastMRI;ixi,yes,full text,2023 - Self-supervised MRI Reconstruction with Unrolled Diffusion Models - SPRINGER 10.1007_978-3-031-43999-5_47.md
S082,37285247,10.1109/tmi.2023.3283948,2023,IEEE transactions on medical imaging,Spatial-Intensity Transforms for Medical Image-to-Image Translation,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Compressed sensing / parallel imaging,,Artifacts (aliasing/ghosting/Gibbs);Hallucination / fidelity / instability;Robustness / distribution shift,not reported,,T1w;FLAIR,Stated ground truth (unspecified),ADNI;adni,yes,full text,2023 - Spatial-Intensity Transforms for Medical Image-to-Image Translation. - PMID 37285247.md
S083,38167996,10.1002/mp.16918,2024,Medical physics,AI-based motion artifact severity estimation in undersampled MRI allowing for selection of appropriate reconstruction models,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Compressed sensing / parallel imaging;Motion correction,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,not reported,,T1w;T2w;FLAIR,Fully sampled acquisition,FastMRI;fastMRI,not stated,full text,2024 - AI-based motion artifact severity estimation in undersampled MRI allowing for selection of appropriate reconstruction mo - PMID 38167996.md
S084,,10.1038/s41598-024-59705-0,2024,Scientific Reports,Accelerated MRI reconstructions via variational network and feature domain learning,Diagnostic accuracy / reader study,Physics-based / unrolled;Compressed sensing / parallel imaging,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),not reported,,T1w;T2w;FLAIR,Fully sampled acquisition,FastMRI;fastMRI;fastmri,yes,full text,2024 - Accelerated MRI reconstructions via variational network and feature domain learning - SPRINGER 10.1038_s41598-024-59705-0.md
S085,,10.1109/access.2024.3408840,2024,IEEE Access,Adversarial Learning for MRI Reconstruction and Classification of Cognitively Impaired Individuals,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Motion correction,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,"d cognitive impairment (MCI) to Alzheimer’s disease (AD). We obtained 3-Tesla, T1-weighted brain MRIs of participants from the Alzheimer’s Disease",T1w,Fully sampled acquisition,ADNI,yes,full text,2024 - Adversarial Learning for MRI Reconstruction and Classification of Cognitively Impaired Individuals - IEEEXPLORE 10546982.md
S086,38400805,10.1002/jmri.29308,2024,Journal of magnetic resonance imaging : JMRI,Automated Quality Evaluation Index for Arterial Spin Labeling Derived Cerebral Blood Flow Maps,Diagnostic accuracy / reader study,,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),3T,FIELD STRENGTH/SEQUENCE: Pulsed or pseudocontinuous ASL acquired at 3 T using non-background suppressed 2D gradient-echo echoplanar imaging o,T1w,Expert reader consensus,ADNI;adni,not stated,full text,2024 - Automated Quality Evaluation Index for Arterial Spin Labeling Derived Cerebral Blood Flow Maps. - PMID 38400805.md
S087,38009996,10.1002/mrm.29937,2024,Magnetic resonance in medicine,CEST and nuclear Overhauser enhancement imaging with deep learning-extrapolated semisolid magnetization transfer reference: Scan-rescan reproducibility and reliability studies,Algorithmic / methodological reconstruction study,,,,7T,"-state pulsed chemical exchange saturation transfer (CEST) imaging at 7T. J Magn Reson Imaging 2016;44:41–50. [PubMed: 26663561] 5. Jiang S,",T1w;T2w;FLAIR;DWI,Expert reader consensus,,not stated,full text,2024 - CEST and nuclear Overhauser enhancement imaging with deep learning-extrapolated semisolid magnetization transfer referen - PMID 38009996.md
S088,,10.3174/ajnr.a8143,2024,American Journal of Neuroradiology,Clinical Evaluation of a 2-Minute Ultrafast Brain MR Protocol for Evaluation of Acute Pathology in the Emergency and Inpatient Settings,Diagnostic accuracy / reader study,Motion correction,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Geometric / anatomical distortion,3T,"institu- tion. All brain MR examinations were performed on one of two 3T scanners at our institution (Magnetom Prisma and Magnetom Skyra, Siem",T1w;T2w;FLAIR;DWI;SWI,Expert reader consensus,,not stated,full text,2024 - Clinical Evaluation of a 2-Minute Ultrafast Brain MR Protocol for Evaluation of Acute Pathology in the Emergency and Inp - SCOPUS 2-s2.0-85189976776.md
S089,39434010,10.1186/s12880-024-01463-6,2024,BMC medical imaging,Comprehensive assessment of imaging quality of artificial intelligence-assisted compressed sensing-based MR images in routine clinical settings,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),3T,"que using different MR contrasts. All MR scans were acquired using a 3T MR scanner (uMR 780, United Imaging Healthcare Co. Ltd, Shanghai, Ch",T1w;T2w;FLAIR,Fully sampled acquisition,,not stated,full text,2024 - Comprehensive assessment of imaging quality of artificial intelligence-assisted compressed sensing-based MR images in ro - PMID 39434010.md
S090,39455814,10.1038/s41598-024-76592-7,2024,Scientific reports,Deep learning-based super-resolution and denoising algorithm improves reliability of dynamic contrast-enhanced MRI in diffuse glioma,Algorithmic / methodological reconstruction study,Denoising;Super-resolution,,Artifacts (aliasing/ghosting/Gibbs),3T,"Fig. S.1. MRI acquisition MRI data were acquired using one of three 3T MRI systems (Magnetom Verio, Skyra, or Skyra Fit; Siemens Healthinee",T1w,Expert reader consensus,,not stated,full text,2024 - Deep learning-based super-resolution and denoising algorithm improves reliability of dynamic contrast-enhanced MRI in di - PMID 39455814.md
S091,38621552,10.1016/j.mri.2024.04.013,2024,Magnetic resonance imaging,DeepFLAIR: A neural network approach to mitigate signal and contrast loss in temporal lobes at 7 Tesla FLAIR images,Algorithmic / methodological reconstruction study,,,Artifacts (aliasing/ghosting/Gibbs),7T,rk approach to mitigate signal and contrast loss in temporal lobes at 7 Tesla FLAIR images. BACKGROUND AND PURPOSE: Higher magnetic field strength,T1w;T2w;FLAIR;DWI;SWI,Expert reader consensus,,yes,full text,2024 - DeepFLAIR A neural network approach to mitigate signal and contrast loss in temporal lobes at 7 Tesla FLAIR images. - PMID 38621552.md
S092,,10.48550/arxiv.2409.00807,2024,NeuroImage,Diffusion based multi-domain neuroimaging harmonization method with preservation of anatomical details,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Denoising,Perceptual / learned metrics,Artifacts (aliasing/ghosting/Gibbs);Hallucination / fidelity / instability;Geometric / anatomical distortion,3T,"imaging vendors; ABIDE II used for the experiment was acquired under 3T field strength from four imaging sites. For our experiment, the learn",T1w;T2w,Stated ground truth (unspecified),ADNI;adni,not stated,full text,2024 - Diffusion based multi-domain neuroimaging harmonization method with preservation of anatomical details - SEMANTICSCHOLAR f2189e72d7d7746142b42bb63b17a623e13b5061.md
S093,38342980,10.1002/mrm.30045,2024,Magnetic resonance in medicine,Improving quantitative MRI using self-supervised deep learning with model reinforcement: Demonstration for rapid T1 mapping,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Self-supervised / unsupervised,,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,3T,8. All ex-vivo and in-vivo experiments were carried out on a Siemens 3T Prisma scanner. The acquired MRI k-space data were retrospectively un,,Fully sampled acquisition,,not stated,full text,2024 - Improving quantitative MRI using self-supervised deep learning with model reinforcement Demonstration for rapid T1 mappi - PMID 38342980.md
S094,38942939,10.1007/s10278-024-01184-w,2024,Journal of imaging informatics in medicine,Iterative Motion Correction Technique with Deep Learning Reconstruction for Brain MRI: A Volunteer and Patient Study,Algorithmic / methodological reconstruction study,Motion correction,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs);Motion degradation,1.5T,"nalyses involving patients, MR examinations were performed using the 1.5-T Orian sys- tem (Canon Medical Systems). MR imaging parameters for th",T1w;T2w;FLAIR,Expert reader consensus,,not stated,full text,2024 - Iterative Motion Correction Technique with Deep Learning Reconstruction for Brain MRI A Volunteer and Patient Study. - PMID 38942939.md
S095,,10.1109/cisp-bmei64163.2024.10906217,2024,"2024 17th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",MCDDPM: Multichannel Conditional Denoising Diffusion Model for Unsupervised Anomaly Detection in Brain MRI,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Self-supervised / unsupervised;Denoising,,Artifacts (aliasing/ghosting/Gibbs);Hallucination / fidelity / instability,not reported,,T2w;FLAIR,Stated ground truth (unspecified),BraTS;IXI;brats,yes,full text,2024 - MCDDPM Multichannel Conditional Denoising Diffusion Model for Unsupervised Anomaly Detection in Brain MRI - IEEEXPLORE 10906217.md
S096,38760778,10.1186/s12880-024-01297-2,2024,BMC medical imaging,MRI reconstruction with enhanced self-similarity using graph convolutional network,Algorithmic / methodological reconstruction study,,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs),3T,ghted k-space data collected from a 2D turbo-spin echo sequence on a 3 T MRI system (Siemens Magnetom Skyra) using 15 coils. It includes data,T2w,Fully sampled acquisition,fastMRI,not stated,full text,2024 - MRI reconstruction with enhanced self-similarity using graph convolutional network. - PMID 38760778.md
S097,38462289,10.1016/j.artmed.2024.102798,2024,Artificial intelligence in medicine,NPB-REC: A non-parametric Bayesian deep-learning approach for undersampled MRI reconstruction with uncertainty estimation,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Compressed sensing / parallel imaging,Pixel-wise metrics (PSNR/SSIM/NRMSE);Uncertainty estimation,Robustness / distribution shift,not reported,,,Fully sampled acquisition,fastMRI;fastmri,yes,full text,2024 - NPB-REC A non-parametric Bayesian deep-learning approach for undersampled MRI reconstruction with uncertainty estimation - PMID 38462289.md
